City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,3.44,light intensity drizzle
202,Batagay-Alyta,RU,67.8006,130.4114,56.5,71,86,14.47,overcast clouds
203,Pinawa,CA,50.1489,-95.8811,74.3,47,5,5.23,clear sky
204,Macherla,IN,16.4833,79.4333,80.19,70,100,16.35,overcast clouds
205,Harper,LR,4.375,-7.7169,75.72,80,100,9.82,overcast clouds
206,Cidreira,BR,-30.1811,-50.2056,62.13,98,100,10.87,overcast clouds
207,Port Hedland,AU,-20.3167,118.5667,69.85,83,79,10.36,broken clouds
208,Russell,US,32.3502,-85.1999,89.31,88,75,4.61,broken clouds
209,Tuatapere,NZ,-46.1333,167.6833,51.82,69,21,5.91,few clouds
210,Kautokeino,NO,69.0125,23.0412,52.63,88,50,6.53,scattered clouds
211,Touros,BR,-5.1989,-35.4608,74.3,86,13,9.66,few clouds
212,Nagykallo,HU,47.8749,21.8408,74.98,77,71,7.02,broken clouds
213,Victoria,HK,22.2855,114.1577,90.97,82,90,1.99,overcast clouds
214,Bijar,IR,35.8668,47.6051,68.88,55,4,5.01,clear sky
215,Kavieng,PG,-2.5744,150.7967,84.29,65,57,5.23,broken clouds
216,Olafsvik,IS,64.8945,-23.7142,49.93,86,100,11.5,overcast clouds
217,Vallenar,CL,-28.5708,-70.7581,53.73,56,0,3.22,clear sky
218,Palembang,ID,-2.9167,104.7458,71.69,94,5,4.61,clear sky
219,Troitsko-Pechorsk,RU,62.7084,56.1964,43.59,97,61,6.78,broken clouds
220,Rio Gallegos,AR,-51.6226,-69.2181,37.45,93,75,3.44,light rain
221,Pangody,RU,65.85,74.4859,50.5,72,100,10.42,overcast clouds
222,Twin Falls,US,42.3505,-114.6445,98.94,13,20,8.05,haze
223,Preobrazheniye,RU,42.9019,133.9064,80.26,77,30,5.64,scattered clouds
224,Jamestown,US,42.097,-79.2353,78.12,53,1,5.75,clear sky
225,Kaa-Khem,RU,51.6833,94.7333,67.48,80,95,1.9,overcast clouds
226,Mayo,US,38.8876,-76.5119,84.31,78,75,3.0,broken clouds
227,San Cristobal,VE,7.7669,-72.225,73.58,96,99,2.48,overcast clouds
228,Hokitika,NZ,-42.7167,170.9667,52.14,75,93,15.77,overcast clouds
229,Rawlins,US,41.7911,-107.2387,91.29,10,1,9.22,clear sky
230,Geraldton,AU,-28.7667,114.6,64.81,59,90,23.02,overcast clouds
231,Buribay,RU,51.9617,58.1592,54.09,61,20,6.67,few clouds
232,Razdolinsk,RU,58.4211,94.6658,72.27,53,7,4.03,clear sky
233,Camana,PE,-16.6228,-72.7111,61.16,89,57,11.65,broken clouds
234,Bibiani,GH,6.4635,-2.3194,67.89,99,100,1.97,overcast clouds
235,Caibarien,CU,22.5206,-79.4669,78.12,80,83,4.97,broken clouds
236,Naze,JP,28.3667,129.4833,83.32,84,100,14.03,overcast clouds
237,Nisia Floresta,BR,-6.0911,-35.2086,75.58,91,0,5.91,clear sky
238,Pandan,PH,14.0453,124.1694,86.05,71,98,15.57,overcast clouds
239,Pontian Kecil,MY,1.4801,103.3899,86.99,72,9,8.61,clear sky
240,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,96,90,14.97,overcast clouds
241,Lompoc,US,34.6391,-120.4579,77.77,74,75,6.91,broken clouds
242,Soyo,AO,-6.1349,12.3689,71.6,90,100,3.38,overcast clouds
243,Hasaki,JP,35.7333,140.8333,75.49,79,100,15.55,overcast clouds
244,Christchurch,NZ,-43.5333,172.6333,53.01,76,90,5.99,overcast clouds
245,Berberati,CF,4.2612,15.7922,68.36,94,98,3.38,overcast clouds
246,Pangkalanbuun,ID,-2.6833,111.6167,80.92,74,88,4.36,overcast clouds
247,Buena Vista,US,43.4203,-83.8986,82.85,54,1,4.61,clear sky
248,Labranzagrande,CO,5.5622,-72.575,66.87,98,100,1.16,overcast clouds
249,Kathu,TH,7.9178,98.3332,85.69,75,98,15.84,overcast clouds
250,Husavik,IS,66.0449,-17.3389,49.91,81,89,2.17,overcast clouds
251,High Rock,BS,26.6208,-78.2833,84.22,74,0,9.73,clear sky
252,Odweyne,SO,9.4092,45.064,69.46,52,90,20.94,overcast clouds
253,Kalemie,CD,-5.9475,29.1947,70.05,61,19,14.0,few clouds
254,Sarkand,KZ,45.41,79.9186,77.45,34,28,5.95,scattered clouds
255,Bima,ID,-8.4667,118.7167,83.19,55,63,5.06,broken clouds
256,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,57,0,12.66,clear sky
257,Portland,US,45.5234,-122.6762,92.7,41,40,3.0,scattered clouds
258,Faridpur,BD,23.6,89.8333,84.2,85,63,10.33,broken clouds
259,Baturaja,ID,-4.1333,104.1667,75.31,73,12,3.27,few clouds
260,Pokhara,NP,28.2333,83.9833,75.4,88,72,0.09,broken clouds
261,Pemangkat,ID,1.1667,108.9667,81.68,83,100,6.02,overcast clouds
262,Chernyakhiv,UA,50.4565,28.6702,63.88,72,24,7.78,few clouds
263,Laguna,US,38.421,-121.4238,96.24,27,1,5.01,clear sky
264,Bataipora,BR,-22.2953,-53.2711,73.18,34,15,4.59,few clouds
265,Rawson,AR,-43.3002,-65.1023,40.37,76,62,28.1,broken clouds
266,Sungairaya,ID,0.7,108.9,83.39,78,88,6.24,overcast clouds
267,Bowen,AU,-20.0167,148.2333,71.82,61,63,11.14,broken clouds
268,Kolondieba,ML,11.0882,-6.8926,74.17,87,40,4.81,scattered clouds
269,Mapiripan,CO,2.8892,-72.1256,73.62,94,100,1.5,overcast clouds
270,Tazovskiy,RU,67.4667,78.7,44.92,98,100,18.39,moderate rain
271,Yenagoa,NG,4.9247,6.2642,72.97,81,100,4.03,overcast clouds
272,Aklavik,CA,68.2191,-135.0107,63.32,84,100,3.91,overcast clouds
273,Tirano,IT,46.2154,10.1679,66.7,97,100,1.36,light rain
274,Kamaishi,JP,39.2667,141.8833,77.95,96,100,12.68,overcast clouds
275,Embonas,GR,36.2269,27.8564,77.13,62,0,2.89,clear sky
276,Kailua,US,21.4022,-157.7394,87.78,65,40,11.5,scattered clouds
277,Puerto Escondido,MX,15.85,-97.0667,85.03,61,90,5.75,overcast clouds
278,Milos,GR,36.75,24.4333,74.12,68,0,19.95,clear sky
279,Arlit,NE,18.7369,7.3853,93.25,33,80,18.1,broken clouds
280,Huntsville,US,34.7304,-86.5861,84.22,81,20,5.99,few clouds
281,Macusani,PE,-14.0833,-70.4333,34.7,82,0,4.38,clear sky
282,Camacupa,AO,-12.0167,17.4833,50.68,45,100,3.53,overcast clouds
283,La Orilla,MX,17.9833,-102.2333,82.94,81,58,3.29,broken clouds
284,Urozhaynoye,RU,44.7883,44.9228,75.51,56,100,5.5,light rain
285,Ravar,IR,31.2656,56.8055,81.81,22,0,9.22,clear sky
286,Erenhot,CN,43.6475,111.9767,69.64,55,7,6.53,clear sky
287,Bambanglipuro,ID,-7.95,110.2833,77.38,76,99,3.67,overcast clouds
288,Qandala,SO,11.472,49.8728,85.77,49,16,11.41,few clouds
289,Kyra,RU,49.5776,111.9753,62.42,74,100,2.68,overcast clouds
290,Calama,CL,-22.4667,-68.9333,50.49,18,0,4.61,clear sky
291,Manuk Mangkaw,PH,4.8,119.85,84.51,78,22,14.85,few clouds
292,Provideniya,RU,64.3833,-173.3,50.11,81,90,8.95,light rain
293,Cabo San Lucas,MX,22.8909,-109.9124,93.81,65,1,11.5,clear sky
294,Nacozari,MX,25.3366,-108.2574,97.11,60,0,11.03,clear sky
295,Ojinaga,MX,29.5667,-104.4167,101.57,11,1,14.97,clear sky
296,Bilibino,RU,68.0546,166.4372,56.44,45,34,16.53,scattered clouds
297,Salalah,OM,17.0151,54.0924,78.89,89,75,5.75,broken clouds
298,Sao Francisco,BR,-15.9486,-44.8644,65.89,46,0,3.8,clear sky
299,Vuktyl,RU,63.8567,57.3094,44.15,96,100,7.9,overcast clouds
300,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,40,11.5,light rain
301,Dali,CN,25.7,100.1833,67.48,83,86,1.52,overcast clouds
302,Nelson Bay,AU,-32.7167,152.15,64.0,66,0,1.99,clear sky
303,Ibra,OM,22.6906,58.5334,86.47,50,58,5.26,broken clouds
304,Dalianwan,CN,39.0286,121.695,84.72,78,40,4.47,scattered clouds
305,Goderich,CA,43.7501,-81.7165,75.52,69,0,2.3,clear sky
306,Artyom,AZ,40.4723,50.333,82.54,76,7,32.28,clear sky
307,Mehamn,NO,71.0357,27.8492,46.53,85,63,4.32,broken clouds
308,Bezhta,RU,42.1338,46.1283,56.97,95,39,1.77,scattered clouds
309,Riyadh,SA,24.6877,46.7219,93.34,23,100,10.07,overcast clouds
310,Ixtapa,MX,20.7,-105.2,87.03,70,20,8.05,few clouds
311,Esfarayen,IR,37.0765,57.5101,73.06,45,0,6.62,clear sky
312,Winnemucca,US,40.973,-117.7357,98.65,12,20,8.05,haze
313,Awjilah,LY,29.1081,21.2869,78.89,50,0,7.11,clear sky
314,Nome,US,64.5011,-165.4064,50.07,87,90,10.36,moderate rain
315,Hithadhoo,MV,-0.6,73.0833,80.28,76,100,5.28,overcast clouds
316,Xuzhou,CN,34.1805,117.1571,78.13,92,100,12.97,overcast clouds
317,Uray,RU,60.1247,64.7758,54.0,80,31,6.44,scattered clouds
318,Puerto Maldonado,PE,-12.6,-69.1833,77.41,61,8,1.97,clear sky
319,Beidao,CN,34.5686,105.8933,70.07,77,100,1.86,overcast clouds
