City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
51,Narsaq,GL,52.02,broken clouds,60.9167,-46.05,Narsaq Kayak Hostel
52,Nikolskoye,RU,66.79,clear sky,59.7035,30.7861,Tourist House - Sablino
53,Anandnagar,IN,81.59,overcast clouds,27.1,83.2833,Ishan House
54,Glubokiy,RU,71.85,clear sky,48.5217,40.3258,Tikhiy Dvorik
55,Tura,IN,76.98,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
56,Lebu,CL,46.0,broken clouds,-37.6167,-73.65,Hostal Las Lilas
57,Gua Musang,MY,78.84,overcast clouds,4.8823,101.9644,Mines Inn Hotel
58,Barrow,US,46.42,overcast clouds,71.2906,-156.7887,King Eider Inn
59,Soto La Marina,MX,82.22,clear sky,23.7667,-98.2167,Hotel Chicago
60,Ligayan,PH,84.74,scattered clouds,4.6533,119.4706,
61,Tinnanur,IN,80.35,overcast clouds,13.1114,80.0261,Sukumar cottage industries
62,Punta Arenas,CL,42.91,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
63,Mahebourg,MU,68.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Labuhan,ID,78.1,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
65,Sao Joao Da Barra,BR,71.31,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
66,Boa Vista,BR,78.78,thunderstorm,2.8197,-60.6733,Aipana Plaza Hotel
67,East London,ZA,62.94,clear sky,-33.0153,27.9116,Tu Casa
68,Coquimbo,CL,53.33,clear sky,-29.9533,-71.3436,Punto de encuentro
69,Sao Filipe,CV,74.84,few clouds,14.8961,-24.4956,Hotel Xaguate
70,Port Lincoln,AU,62.62,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
71,La Macarena,CO,72.05,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
72,Bud,US,85.95,clear sky,39.447,-86.1758,Ted McQuinn Trust
73,Osa,RU,57.11,overcast clouds,57.2829,55.4567,Гостиница Оса
74,Port Alfred,ZA,60.49,scattered clouds,-33.5906,26.891,The Halyards Hotel
